frame,time_sec,marker_id,x,y,z,rx,ry,rz
45,0.750000,1,-9825.665583,-1864.342117,272132.585120,0.224532,3.130507,0.449660
45,0.750000,7,-5064.205743,-2625.583615,279392.730757,-0.221705,-3.189281,0.172601
46,0.766667,7,-5073.379355,-2631.647400,280055.032034,-0.219297,-3.179152,0.141056
47,0.783333,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
47,0.783333,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
48,0.800000,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
48,0.800000,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
49,0.816667,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
49,0.816667,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
50,0.833333,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
50,0.833333,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
51,0.850000,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
51,0.850000,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
52,0.866667,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
52,0.866667,7,-5052.701372,-2603.009514,278339.905330,-0.185062,-2.961433,-0.057212
53,0.883333,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
53,0.883333,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
54,0.900000,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
55,0.916667,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
56,0.933333,1,-9773.896801,-1847.565580,270934.956514,0.213501,3.114151,0.505724
56,0.933333,7,-5047.087229,-2601.557415,278194.057955,-0.186711,-2.969038,-0.074472
57,0.950000,1,-9825.665583,-1864.342117,272132.585120,0.224532,3.130507,0.449660
57,0.950000,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
58,0.966667,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
59,0.983333,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
60,1.000000,1,-9847.159924,-1865.181110,272648.320534,0.222348,3.136778,0.430176
61,1.016667,1,-9847.159924,-1865.181110,272648.320534,0.222348,3.136778,0.430176
62,1.033333,1,-9795.989992,-1848.509795,271468.348555,0.211208,3.119357,0.488310
62,1.033333,7,-5027.477263,-2631.198260,278228.114712,0.188581,2.936840,-0.049218
63,1.050000,7,-5027.477263,-2631.198260,278228.114712,0.188581,2.936840,-0.049218
64,1.066667,7,-5027.477263,-2631.198260,278228.114712,0.188581,2.936840,-0.049218
65,1.083333,7,-5027.477263,-2631.198260,278228.114712,0.188581,2.936840,-0.049218
66,1.100000,7,-4992.019284,-2587.043933,275439.905481,-0.166772,-2.887757,-0.072707
67,1.116667,7,-4992.019284,-2587.043933,275439.905481,-0.166772,-2.887757,-0.072707
68,1.133333,7,-4992.019284,-2587.043933,275439.905481,-0.166772,-2.887757,-0.072707
69,1.150000,1,-9832.033290,-1862.829830,272309.787971,0.219888,3.127398,0.437195
69,1.150000,7,-4992.019284,-2587.043933,275439.905481,-0.166772,-2.887757,-0.072707
70,1.166667,1,-9832.033290,-1862.829830,272309.787971,0.219888,3.127398,0.437195
70,1.166667,7,-4992.484922,-2585.756480,275310.044277,-0.168269,-2.893386,-0.085327
71,1.183333,1,-9847.159924,-1865.181110,272648.320534,0.222348,3.136778,0.430176
71,1.183333,7,-4992.484922,-2585.756480,275310.044277,-0.168269,-2.893386,-0.085327
72,1.200000,7,-4992.484922,-2585.756480,275310.044277,-0.168269,-2.893386,-0.085327
73,1.216667,7,-4992.484922,-2585.756480,275310.044277,-0.168269,-2.893386,-0.085327
75,1.250000,1,-9872.736221,-1869.563408,273278.730963,0.221098,3.133404,0.416771
75,1.250000,7,-5049.442232,-2639.268647,278773.243358,0.187470,3.001170,-0.068174
76,1.266667,7,-5032.126519,-2630.554305,278155.795126,0.189493,2.957991,-0.059114
77,1.283333,1,-9872.736221,-1869.563408,273278.730963,0.221098,3.133404,0.416771
77,1.283333,7,-5074.707051,-2618.866021,279416.631104,-0.187511,-3.018780,-0.051013
78,1.300000,7,-5069.893045,-2617.724271,279305.632297,-0.187918,-3.003339,-0.068758
79,1.316667,7,-5069.893045,-2617.724271,279305.632297,-0.187918,-3.003339,-0.068758
80,1.333333,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
81,1.350000,7,-5069.893045,-2617.724271,279305.632297,-0.187918,-3.003339,-0.068758
82,1.366667,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
83,1.383333,7,-5057.604308,-2609.956547,278779.084809,-0.189327,-2.981820,-0.062140
84,1.400000,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
85,1.416667,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
86,1.433333,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
86,1.433333,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
87,1.450000,7,-4997.222617,-2592.565060,275736.044854,-0.171967,-2.907681,-0.089610
88,1.466667,7,-4990.177240,-2590.192552,275182.841800,-0.173799,-2.892965,-0.084942
89,1.483333,7,-5151.836000,-2675.777366,284341.208746,-0.185496,-3.115098,-0.041174
90,1.500000,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
91,1.516667,7,-5076.015772,-2637.259814,280372.070714,-0.217572,-3.202400,0.092181
93,1.550000,1,-9825.665583,-1864.342117,272132.585120,0.224532,3.130507,0.449660
95,1.583333,7,-5015.686967,-2626.524604,277418.035654,0.188149,2.930851,-0.076694
96,1.600000,7,-5015.686967,-2626.524604,277418.035654,0.188149,2.930851,-0.076694
97,1.616667,7,-5015.686967,-2626.524604,277418.035654,0.188149,2.930851,-0.076694
98,1.633333,7,-5015.686967,-2626.524604,277418.035654,0.188149,2.930851,-0.076694
99,1.650000,1,-9825.665583,-1864.342117,272132.585120,0.224532,3.130507,0.449660
100,1.666667,7,-5025.006459,-2630.215047,278695.307211,0.181675,3.023553,-0.115454
101,1.683333,1,-9800.321384,-1859.998668,271507.975912,0.225777,3.133583,0.462054
101,1.683333,7,-5048.174121,-2637.772610,280117.449777,0.186372,3.079339,-0.096892
102,1.700000,1,-9800.321384,-1859.998668,271507.975912,0.225777,3.133583,0.462054
102,1.700000,7,-5033.558334,-2631.746462,279159.159220,0.184520,3.046382,-0.120238
103,1.716667,7,-5039.126546,-2616.112743,278955.394575,0.200844,3.098795,-0.239125
104,1.733333,7,-5028.644346,-2627.757466,279060.796792,0.185656,3.019604,-0.077540
105,1.750000,1,-9847.463702,-1870.817979,272656.904979,0.222309,3.136277,0.429981
105,1.750000,7,-5056.669461,-2608.326703,279286.864775,-0.182759,-3.148666,-0.216893
106,1.766667,1,-9876.314251,-1873.020601,273379.808692,0.222000,3.123496,0.423978
106,1.766667,7,-5074.707051,-2618.866021,279416.631104,-0.187511,-3.018780,-0.051013
107,1.783333,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
107,1.783333,7,-5075.763926,-2617.760749,279308.294645,-0.187922,-3.003090,-0.066090
108,1.800000,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
108,1.800000,7,-5075.763926,-2617.760749,279308.294645,-0.187922,-3.003090,-0.066090
109,1.816667,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
109,1.816667,7,-5070.356787,-2612.303073,279342.260073,-0.183421,-3.028721,-0.080498
110,1.833333,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
110,1.833333,7,-5070.356787,-2612.303073,279342.260073,-0.183421,-3.028721,-0.080498
111,1.850000,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
111,1.850000,7,-5070.356787,-2612.303073,279342.260073,-0.183421,-3.028721,-0.080498
112,1.866667,1,-9825.665583,-1864.342117,272132.585120,0.224532,3.130507,0.449660
112,1.866667,7,-5070.356787,-2612.303073,279342.260073,-0.183421,-3.028721,-0.080498
113,1.883333,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
113,1.883333,7,-5081.243616,-2620.955792,279950.535064,-0.186579,-3.048893,-0.064270
114,1.900000,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
114,1.900000,7,-5081.243616,-2620.955792,279950.535064,-0.186579,-3.048893,-0.064270
115,1.916667,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
115,1.916667,7,-5081.243616,-2620.955792,279950.535064,-0.186579,-3.048893,-0.064270
116,1.933333,7,-5081.243616,-2620.955792,279950.535064,-0.186579,-3.048893,-0.064270
117,1.950000,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
117,1.950000,7,-5081.243616,-2620.955792,279950.535064,-0.186579,-3.048893,-0.064270
118,1.966667,7,-5070.356787,-2612.303073,279342.260073,-0.183421,-3.028721,-0.080498
119,1.983333,1,-9851.004838,-1868.684292,272756.756320,0.223273,3.127158,0.436971
119,1.983333,7,-5081.243616,-2620.955792,279950.535064,-0.186579,-3.048893,-0.064270
120,2.000000,7,-5032.478129,-2629.337642,278020.606807,0.190411,2.944103,-0.069621
121,2.016667,7,-5150.395024,-2670.502260,283738.804118,-0.188176,-3.139243,-0.043345
122,2.033333,7,-5094.657687,-2620.460562,280204.857586,-0.195338,-3.042997,-0.064467
123,2.050000,7,-5146.939928,-2673.135633,283431.132577,-0.190435,-3.193239,0.009580
124,2.066667,7,-5085.640724,-2620.137013,279857.451833,-0.190670,-3.016996,-0.050054
125,2.083333,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
125,2.083333,7,-5081.244529,-2636.967757,280337.520921,-0.217508,-3.200715,0.099410
126,2.100000,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
126,2.100000,7,-5081.244529,-2636.967757,280337.520921,-0.217508,-3.200715,0.099410
127,2.116667,1,-9838.389565,-1858.378533,272486.530803,0.213605,3.121451,0.457702
127,2.116667,7,-5032.478129,-2629.337642,278020.606807,0.190411,2.944103,-0.069621
128,2.133333,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
128,2.133333,7,-5085.640724,-2620.137013,279857.451833,-0.190670,-3.016996,-0.050054
129,2.150000,1,-9795.989992,-1848.509795,271468.348555,0.211208,3.119357,0.488310
129,2.150000,7,-5094.657687,-2620.460562,280204.857586,-0.195338,-3.042997,-0.064467
130,2.166667,1,-9855.736478,-1863.998585,272887.613072,0.217324,3.127195,0.437679
130,2.166667,7,-5075.763926,-2617.760749,279308.294645,-0.187922,-3.003090,-0.066090
131,2.183333,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
131,2.183333,7,-5081.244529,-2636.967757,280337.520921,-0.217508,-3.200715,0.099410
132,2.200000,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
132,2.200000,7,-5081.244529,-2636.967757,280337.520921,-0.217508,-3.200715,0.099410
133,2.216667,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
133,2.216667,7,-5081.244529,-2636.967757,280337.520921,-0.217508,-3.200715,0.099410
134,2.233333,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
134,2.233333,7,-5015.979340,-2605.082029,276965.500476,0.173926,2.909279,-0.048535
135,2.250000,7,-5077.704447,-2607.623555,279754.425946,-0.192178,-3.045832,-0.071649
136,2.266667,1,-9869.709667,-1868.905136,273195.914795,0.226708,3.127402,0.436942
136,2.266667,7,-5068.848597,-2607.391077,279414.606133,-0.187510,-3.019093,-0.054435
137,2.283333,1,-9869.709667,-1868.905136,273195.914795,0.226708,3.127402,0.436942
137,2.283333,7,-5062.141069,-2601.224168,279741.584594,-0.183560,-3.132322,-0.193754
138,2.300000,1,-9869.709667,-1868.905136,273195.914795,0.226708,3.127402,0.436942
138,2.300000,7,-5062.141069,-2601.224168,279741.584594,-0.183560,-3.132322,-0.193754
139,2.316667,7,-5062.141069,-2601.224168,279741.584594,-0.183560,-3.132322,-0.193754
140,2.333333,7,-5062.141069,-2601.224168,279741.584594,-0.183560,-3.132322,-0.193754
141,2.350000,1,-9844.254376,-1864.549401,272568.844658,0.227967,3.130728,0.449665
141,2.350000,7,-5062.141069,-2601.224168,279741.584594,-0.183560,-3.132322,-0.193754
142,2.366667,1,-9811.260450,-1856.483476,271814.301104,0.221823,3.116358,0.475861
142,2.366667,7,-5061.581449,-2604.930387,278842.647368,-0.188660,-2.993489,-0.046750
143,2.383333,1,-9844.254376,-1864.549401,272568.844658,0.227967,3.130728,0.449665
143,2.383333,7,-5062.141069,-2601.224168,279741.584594,-0.183560,-3.132322,-0.193754
144,2.400000,1,-9844.254376,-1864.549401,272568.844658,0.227967,3.130728,0.449665
144,2.400000,7,-5056.414979,-2599.551971,278878.827092,-0.188773,-2.995306,-0.048745
145,2.416667,1,-9827.248047,-1858.995998,272177.129163,0.224232,3.124899,0.469108
146,2.433333,7,-5049.072099,-2606.399995,279053.195260,-0.194712,-3.209877,-0.174991
147,2.450000,1,-9828.689034,-1862.114743,272218.029731,0.225515,3.121786,0.456571
149,2.483333,1,-9827.248047,-1858.995998,272177.129163,0.224232,3.124899,0.469108
151,2.516667,7,-5068.848597,-2607.391077,279414.606133,-0.187510,-3.019093,-0.054435
152,2.533333,7,-5087.043287,-2636.987278,280639.228992,-0.216218,-3.159791,0.112838
153,2.550000,7,-5087.043287,-2636.987278,280639.228992,-0.216218,-3.159791,0.112838
154,2.566667,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
154,2.566667,7,-5087.043287,-2636.987278,280639.228992,-0.216218,-3.159791,0.112838
155,2.583333,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
155,2.583333,7,-5087.043287,-2636.987278,280639.228992,-0.216218,-3.159791,0.112838
156,2.600000,7,-5087.043287,-2636.987278,280639.228992,-0.216218,-3.159791,0.112838
157,2.616667,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
157,2.616667,7,-5081.580757,-2613.964704,279801.231752,-0.196146,-3.033410,-0.036139
158,2.633333,7,-5080.560379,-2629.482254,280118.392066,-0.219317,-3.154489,0.164133
159,2.650000,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
159,2.650000,7,-5080.560379,-2629.482254,280118.392066,-0.219317,-3.154489,0.164133
160,2.666667,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
161,2.683333,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
162,2.700000,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
162,2.700000,7,-5080.560379,-2629.482254,280118.392066,-0.219317,-3.154489,0.164133
163,2.716667,7,-5088.183476,-2616.079579,280341.296609,-0.195615,-3.068523,-0.052298
164,2.733333,1,-9840.367586,-1858.265776,272457.346702,0.220061,3.149215,0.437620
164,2.733333,7,-5088.183476,-2616.079579,280341.296609,-0.195615,-3.068523,-0.052298
165,2.750000,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
165,2.750000,7,-5034.218553,-2611.766831,278582.373224,0.167555,2.981426,-0.060585
166,2.766667,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
166,2.766667,7,-5034.218553,-2611.766831,278582.373224,0.167555,2.981426,-0.060585
167,2.783333,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
167,2.783333,7,-5034.218553,-2611.766831,278582.373224,0.167555,2.981426,-0.060585
168,2.800000,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
169,2.816667,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
169,2.816667,7,-5005.755055,-2597.034229,276405.087462,-0.199936,-3.371388,0.067194
170,2.833333,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
171,2.850000,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
171,2.850000,7,-5005.755055,-2597.034229,276405.087462,-0.199936,-3.371388,0.067194
172,2.866667,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
172,2.866667,7,-5005.755055,-2597.034229,276405.087462,-0.199936,-3.371388,0.067194
173,2.883333,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
174,2.900000,1,-9847.450735,-1859.660432,272656.387751,0.222313,3.136310,0.429917
175,2.916667,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
176,2.933333,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
177,2.950000,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
178,2.966667,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
178,2.966667,7,-5006.338930,-2595.933082,276282.240539,-0.202523,-3.381005,0.078449
179,2.983333,1,-9873.032701,-1864.031050,273286.961022,0.221061,3.132898,0.416495
179,2.983333,7,-5005.755055,-2597.034229,276405.087462,-0.199936,-3.371388,0.067194
180,3.000000,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
180,3.000000,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
181,3.016667,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
181,3.016667,7,-5126.175616,-2660.066459,282975.805348,-0.189889,-3.204238,0.023488
182,3.033333,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
182,3.033333,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
183,3.050000,1,-9820.784093,-1852.720023,272077.952810,0.209934,3.116085,0.476916
183,3.050000,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
184,3.066667,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
185,3.083333,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
186,3.100000,1,-9822.802955,-1850.299336,272135.441380,0.210969,3.107912,0.483898
186,3.100000,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
187,3.116667,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
188,3.133333,1,-9822.802955,-1850.299336,272135.441380,0.210969,3.107912,0.483898
189,3.150000,7,-5041.966402,-2610.072978,279324.941724,0.164164,3.000354,-0.047323
190,3.166667,1,-9798.273207,-1846.146716,271533.152129,0.212256,3.111328,0.494966
190,3.166667,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
191,3.183333,1,-9798.273207,-1846.146716,271533.152129,0.212256,3.111328,0.494966
191,3.183333,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
192,3.200000,1,-9798.273207,-1846.146716,271533.152129,0.212256,3.111328,0.494966
192,3.200000,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
193,3.216667,1,-9833.482841,-1857.450946,272350.637010,0.219580,3.121842,0.457223
193,3.216667,7,-5123.510931,-2655.028669,282773.288543,-0.180623,-3.085243,-0.032542
195,3.250000,1,-9845.301936,-1861.974116,272595.936394,0.221019,3.139688,0.443714
195,3.250000,7,-5068.848597,-2607.391077,279414.606133,-0.187510,-3.019093,-0.054435
196,3.266667,1,-9845.301936,-1861.974116,272595.936394,0.221019,3.139688,0.443714
196,3.266667,7,-5068.848597,-2607.391077,279414.606133,-0.187510,-3.019093,-0.054435
197,3.283333,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
197,3.283333,7,-5064.060852,-2600.490127,278979.289597,-0.182931,-2.994126,-0.048394
198,3.300000,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
198,3.300000,7,-5075.005272,-2600.182283,279265.916277,-0.187803,-3.001933,-0.071730
199,3.316667,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
199,3.316667,7,-5065.316350,-2599.514164,278883.136652,-0.183528,-2.980883,-0.061761
200,3.333333,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
200,3.333333,7,-5075.005272,-2600.182283,279265.916277,-0.187803,-3.001933,-0.071730
201,3.350000,7,-5065.316350,-2599.514164,278883.136652,-0.183528,-2.980883,-0.061761
202,3.366667,7,-5065.316350,-2599.514164,278883.136652,-0.183528,-2.980883,-0.061761
203,3.383333,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
203,3.383333,7,-5073.594317,-2606.049976,280202.239407,-0.181774,-3.116729,-0.083594
204,3.400000,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
204,3.400000,7,-5073.594317,-2606.049976,280202.239407,-0.181774,-3.116729,-0.083594
205,3.416667,1,-9861.415191,-1867.363789,272962.482893,0.224828,3.146370,0.423509
205,3.416667,7,-5068.848597,-2607.391077,279414.606133,-0.187510,-3.019093,-0.054435
206,3.433333,7,-5069.879269,-2606.279235,279304.651766,-0.187921,-3.003322,-0.068726
